最终解释权 罗瑶光 浏阳德塔开源 
15116110525 20201026
PDE Initons TVM 人类词汇 
A 分析 
O 操作 
P 处理 
M 管理 
V 感知 
E 执行 
C 控制 
S 静态 
I 增加 
D 减少 
U 改变 
Q 查找
AV 分析感知
AE 分析执行
AC 分析控制
AS 分析静态
OV 操作感知
OE 操作执行
OC 操作控制
OS 操作静态
PV 处理感知
PE 处理执行
PC 处理控制
PS 处理静态
MV 管理感知
ME 管理执行
MC 管理控制
MS 管理静态
AI 分析增加
AD 分析减少
AU 分析改变
AQ 分析查找
OI 操作增加
OD 操作减少
OU 操作改变
OQ 操作查找
PI 处理增加
PD 处理减少
PU 处理改变
PQ 处理查找
MI 管理增加
MD 管理减少
MU 管理改变
MQ 管理查找
VA 感知分析
VO 感知操作
VP 感知处理
VM 感知管理
VI 感知增加
VD 感知减少
VU 感知改变
VQ 感知查找
EA 执行分析
EO 执行操作
EP 执行处理
EM 执行管理
EI 执行增加
ED 执行减少
EU 执行改变
EQ 执行查找
CA 控制分析
CO 控制操作
CP 控制处理
CM 控制管理
CI 控制增加
CD 控制减少
CU 控制改变
CQ 控制查找
SA 静态分析
SO 静态操作
SP 静态处理
SM 静态管理
SI 静态增加
SD 静态减少
SU 静态改变
SQ 静态查找
IA 增加分析
IO 增加操作
IP 增加处理
IM 增加管理
IV 增加感知
IE 增加执行
IC 增加控制
IS 增加静态
DA 减少分析
DO 减少操作
DP 减少处理
DM 减少管理
DV 减少感知
DE 减少执行
DC 减少控制
DS 减少静态
UA 改变分析
UO 改变操作
UP 改变处理
UM 改变管理
UV 改变感知
UE 改变执行
UC 改变控制
US 改变静态
QA 查找分析
QO 查找操作
QP 查找处理
QM 查找管理
QV 查找感知
QE 查找执行
QC 查找控制
QS 查找静态
AVI 分析感知增加
AVD 分析感知减少
AVU 分析感知改变
AVQ 分析感知查找
AEI 分析执行增加
AED 分析执行减少
AEU 分析执行改变
AEQ 分析执行查找
ACI 分析控制增加
ACD 分析控制减少
ACU 分析控制改变
ACQ 分析控制查找
ASI 分析静态增加
ASD 分析静态减少
ASU 分析静态改变
ASQ 分析静态查找
OVI 操作感知增加
OVD 操作感知减少
OVU 操作感知改变
OVQ 操作感知查找
OEI 操作执行增加
OED 操作执行减少
OEU 操作执行改变
OEQ 操作执行查找
OCI 操作控制增加
OCD 操作控制减少
OCU 操作控制改变
OCQ 操作控制查找
OSI 操作静态增加
OSD 操作静态减少
OSU 操作静态改变
OSQ 操作静态查找
PVI 处理感知增加
PVD 处理感知减少
PVU 处理感知改变
PVQ 处理感知查找
PEI 处理执行增加
PED 处理执行减少
PEU 处理执行改变
PEQ 处理执行查找
PCI 处理控制增加
PCD 处理控制减少
PCU 处理控制改变
PCQ 处理控制查找
PSI 处理静态增加
PSD 处理静态减少
PSU 处理静态改变
PSQ 处理静态查找
MVI 管理感知增加
MVD 管理感知减少
MVU 管理感知改变
MVQ 管理感知查找
MEI 管理执行增加
MED 管理执行减少
MEU 管理执行改变
MEQ 管理执行查找
